Gamma,LacZ1_2L,LacZ1_2L_CI_lower,LacZ1_2L_CI_upper
0.00000,-1.05093,-2.88745,0.53161
0.01000,-1.05093,-2.89636,0.53161
0.02000,-1.05093,-2.88745,0.51473
0.03000,-1.05093,-2.89636,0.51515
0.04000,-1.05093,-2.88745,0.53192
0.05000,-1.05093,-2.89636,0.51515
0.06000,-1.05093,-2.89644,0.51515
0.07000,-1.05093,-2.89636,0.53161
0.08000,-1.05093,-2.88745,0.51473
0.09000,-1.05093,-2.89644,0.53161
0.10000,-1.05093,-2.89636,0.53161
0.11000,-1.05093,-2.89636,0.53161
0.12000,-1.05093,-2.89644,0.53161
0.13000,-1.05093,-2.89636,0.53161
0.14000,-1.05093,-2.89636,0.53161
0.15000,-0.99886,-2.78777,0.61766
0.16000,-0.98241,-2.76223,0.63242
0.17000,-0.98241,-2.76223,0.60687
0.18000,-0.98241,-2.75933,0.64431
0.19000,-0.98241,-2.76223,0.64431
0.20000,-0.98241,-2.75933,0.63242
0.21000,-0.98241,-2.75933,0.63242
0.22000,-0.98241,-2.76223,0.63242
0.23000,-0.98241,-2.75933,0.63242
0.24000,-0.98241,-2.75933,0.63242
0.25000,-0.98241,-2.75933,0.64431
0.26000,-0.98241,-2.76223,0.63242
0.27000,-0.98241,-2.76223,0.63242
0.28000,0.62640,-1.19000,3.83695
0.29000,0.62640,-1.18987,3.84258
0.30000,0.60275,-0.61899,2.33069
0.31000,0.60275,-0.61317,2.33488
0.32000,0.60275,-0.63769,2.34031
0.33000,0.73785,0.08426,1.14914
0.34000,0.74263,0.07519,1.11581
0.35000,0.74263,0.07461,1.11914
0.36000,0.75077,0.11048,1.11444
0.37000,0.42086,0.02935,0.73592
0.38000,0.40026,0.00610,0.71853
0.39000,0.40026,0.02379,0.70711
0.40000,0.40859,-0.29995,0.74625
0.41000,0.40859,-0.29959,0.73232
0.42000,0.39803,-0.02703,0.71118
0.43000,0.43629,0.02231,0.64848
0.44000,0.56676,0.32836,0.95789
0.45000,0.57291,0.04653,0.90206
0.46000,0.57291,0.00993,0.89558
0.47000,0.57291,0.03009,0.90716
0.48000,0.58464,0.01431,0.91649
0.49000,0.58464,0.04175,0.93736
0.50000,0.58464,0.07207,0.91039
0.51000,0.57517,0.06239,0.91555
0.52000,0.57517,0.06647,0.91872
0.53000,0.57711,0.21873,0.96740
0.54000,0.57711,0.18584,0.96627
0.55000,0.58249,0.12257,0.94611
0.56000,0.59848,0.13814,1.00129
0.57000,0.62206,0.09965,1.01228
0.58000,0.62206,0.03675,0.99703
0.59000,0.62206,0.04022,1.00801
0.60000,0.62206,0.05818,1.00145
0.61000,0.64810,0.15428,1.03144
0.62000,0.59970,-0.00089,1.02647
0.63000,0.59970,-0.00788,1.04213
0.64000,0.59970,0.05355,1.07077
0.65000,0.59970,0.01090,1.05918
0.66000,0.59970,-0.04732,1.04234
0.67000,0.59970,-0.04256,1.03236
0.68000,0.60255,-0.02709,1.03486
0.69000,0.60255,-0.05150,1.05437
0.70000,0.62690,0.00208,1.08107
0.71000,0.42007,-0.34503,0.69381
0.72000,0.42007,-0.36357,0.68708
0.73000,0.42007,-0.38327,0.67012
0.74000,0.42007,-0.39190,0.69261
0.75000,0.43275,-0.38462,0.72489
0.76000,0.36453,-0.31619,0.63325
0.77000,0.36453,-0.45719,0.62796
0.78000,0.36453,-0.46138,0.60722
0.79000,0.36453,-0.34221,0.60454
0.80000,0.33805,-0.35858,0.60195
0.81000,0.33805,-0.34521,0.58423
0.82000,0.33160,-0.50880,0.59222
0.83000,0.66755,0.11952,1.00022
0.84000,0.66755,0.13665,1.00896
0.85000,0.66755,0.12001,1.00758
0.86000,0.66755,0.11087,1.00451
0.87000,0.65487,0.08304,0.98365
0.88000,0.86595,0.48342,1.36982
0.89000,0.80479,0.36417,1.25572
0.90000,0.80479,0.38403,1.26539
0.91000,0.80479,0.38828,1.25292
0.92000,0.86993,0.50820,1.36326
0.93000,0.86993,0.51858,1.35280
0.94000,0.92133,0.59820,1.40060
0.95000,1.02138,0.77364,1.48668
0.96000,1.02867,0.79439,1.46743
0.97000,1.03705,0.79022,1.45603
0.98000,1.03705,0.78497,1.42368
0.99000,0.97099,0.67404,1.31972
1.00000,0.97099,0.69063,1.30523
1.01000,1.03325,0.79458,1.41061
1.02000,1.03325,0.78297,1.43185
1.03000,1.04621,0.81020,1.41051
1.04000,1.03816,0.80025,1.42239
1.05000,1.03816,0.80902,1.39429
1.06000,1.06080,0.83669,1.42794
1.07000,1.06080,0.83427,1.44249
1.08000,1.06080,0.82525,1.44211
1.09000,1.06080,0.83981,1.43206
1.10000,1.05187,0.82153,1.41277
1.11000,1.05187,0.82122,1.40923
1.12000,1.05187,0.81827,1.40851
1.13000,0.94740,0.66530,1.30658
1.14000,0.94740,0.65860,1.30358
1.15000,0.94740,0.68557,1.35832
1.16000,0.89989,0.59926,1.27698
1.17000,0.82941,0.48409,1.15976
1.18000,0.83157,0.50032,1.14128
1.19000,0.83157,0.51437,1.11238
1.20000,0.83157,0.50804,1.10066
1.21000,0.83506,0.55784,1.16365
1.22000,0.83506,0.51666,1.13753
1.23000,0.83506,0.54987,1.15221
1.24000,0.83649,0.49034,1.14238
1.25000,0.83830,0.51634,1.13178
1.26000,0.83930,0.49381,1.15957
1.27000,0.84157,0.48831,1.14385
1.28000,0.86800,0.52810,1.15549
1.29000,0.86800,0.53079,1.21712
1.30000,0.93067,0.62537,1.22862
1.31000,0.93067,0.61755,1.20303
1.32000,0.89567,0.55054,1.14991
1.33000,0.89567,0.58195,1.21804
1.34000,0.89567,0.55447,1.20869
1.35000,0.88881,0.53090,1.15779
1.36000,0.88881,0.56537,1.16451
1.37000,0.82854,0.51433,1.16858
1.38000,0.84014,0.53217,1.13406
1.39000,0.83942,0.52782,1.17128
1.40000,0.88741,0.60731,1.24926
1.41000,0.88741,0.61225,1.18481
1.42000,0.88741,0.60036,1.14310
1.43000,0.88741,0.60774,1.17505
1.44000,0.88741,0.59153,1.15620
1.45000,0.84301,0.51875,1.15403
1.46000,0.88741,0.60004,1.22603
1.47000,0.88454,0.59790,1.21084
1.48000,0.83914,0.51893,1.20799
1.49000,0.83765,0.51224,1.23061
1.50000,0.84220,0.52962,1.21085
1.51000,0.84220,0.54550,1.21587
1.52000,0.85236,0.55586,1.17887
1.53000,0.87465,0.59600,1.23590
1.54000,0.84719,0.56329,1.21017
1.55000,0.84719,0.55324,1.17936
1.56000,0.84719,0.54817,1.20396
1.57000,0.84220,0.55960,1.19257
1.58000,0.84220,0.56136,1.18390
1.59000,0.83914,0.53736,1.17914
1.60000,0.83691,0.56709,1.20599
1.61000,0.92106,0.63174,1.18677
1.62000,0.96678,0.66757,1.23232
1.63000,0.96845,0.67461,1.29546
1.64000,0.96687,0.66055,1.25011
1.65000,0.97610,0.65862,1.25055
1.66000,0.99504,0.68207,1.26029
1.67000,0.98732,0.66320,1.22665
1.68000,0.97960,0.65756,1.23681
1.69000,0.97960,0.67079,1.24853
1.70000,0.97181,0.66140,1.31072
1.71000,0.95094,0.64301,1.24590
1.72000,0.98102,0.67867,1.29602
1.73000,0.98102,0.68220,1.26800
1.74000,0.98295,0.68936,1.35777
1.75000,0.94030,0.64579,1.30203
1.76000,0.94065,0.63767,1.29486
1.77000,0.96261,0.66012,1.29198
1.78000,0.96261,0.69005,1.32152
1.79000,0.98527,0.72129,1.38485
1.80000,0.94725,0.64401,1.19836
1.81000,0.95416,0.65846,1.21460
1.82000,0.94754,0.65903,1.20746
1.83000,0.97054,0.73415,1.21233
1.84000,0.97000,0.69821,1.22927
1.85000,0.97027,0.70597,1.22817
1.86000,0.95555,0.68910,1.18192
1.87000,0.95555,0.66193,1.18230
1.88000,0.95555,0.70416,1.19179
1.89000,0.95555,0.69724,1.19865
