Chr,Start,End,Score
chr2L,0,20000,-2.44892
chr2L,20000,40000,-0.87772
chr2L,40000,60000,-0.90013
chr2L,60000,80000,0.52256
chr2L,80000,100000,-0.04770
chr2L,100000,120000,1.50312
chr2L,120000,140000,2.66940
chr2L,140000,160000,1.85752
chr2L,160000,180000,2.58796
chr2L,180000,200000,0.11500
chr2L,200000,220000,0.70806
chr2L,220000,240000,0.49670
chr2L,240000,260000,1.86155
chr2L,260000,280000,1.15286
chr2L,280000,300000,2.56953
chr2L,300000,320000,1.45512
chr2L,320000,340000,0.04879
chr2L,340000,360000,0.65762
chr2L,360000,380000,-0.81711
chr2L,380000,400000,-0.48996
chr2L,400000,420000,0.74771
chr2L,420000,440000,1.56696
chr2L,440000,460000,-0.16774
chr2L,460000,480000,-0.12355
chr2L,480000,500000,0.54082
chr2L,500000,520000,-0.19026
chr2L,520000,540000,0.16330
chr2L,540000,560000,1.57081
chr2L,560000,580000,1.21481
chr2L,580000,600000,-0.35298
chr2L,600000,620000,-0.12180
chr2L,620000,640000,-0.35419
chr2L,640000,660000,0.69208
chr2L,660000,680000,0.04078
chr2L,680000,700000,0.21529
chr2L,700000,720000,-0.37005
chr2L,720000,740000,0.36389
chr2L,740000,760000,0.04961
chr2L,760000,780000,-0.67441
chr2L,780000,800000,0.14062
chr2L,800000,820000,1.21946
chr2L,820000,840000,0.74137
chr2L,840000,860000,2.40131
chr2L,860000,880000,2.70173
chr2L,880000,900000,0.07677
chr2L,900000,920000,0.40056
chr2L,920000,940000,-0.79348
chr2L,940000,960000,0.63138
chr2L,960000,980000,0.29189
chr2L,980000,1000000,-0.16964
chr2L,1000000,1020000,-1.25227
chr2L,1020000,1040000,0.64178
chr2L,1040000,1060000,-0.24591
chr2L,1060000,1080000,0.65736
chr2L,1080000,1100000,-0.03214
chr2L,1100000,1120000,0.37855
chr2L,1120000,1140000,0.92835
chr2L,1140000,1160000,1.10491
chr2L,1160000,1180000,1.52918
chr2L,1180000,1200000,1.59939
chr2L,1200000,1220000,0.06611
chr2L,1220000,1240000,-0.40190
chr2L,1240000,1260000,0.72361
chr2L,1260000,1280000,-0.08055
chr2L,1280000,1300000,0.00996
chr2L,1300000,1320000,-0.29518
chr2L,1320000,1340000,0.47677
chr2L,1340000,1360000,-0.44066
chr2L,1360000,1380000,0.50683
chr2L,1380000,1400000,0.20895
chr2L,1400000,1420000,0.84664
chr2L,1420000,1440000,1.52276
chr2L,1440000,1460000,0.33130
chr2L,1460000,1480000,0.15221
chr2L,1480000,1500000,-0.31552
chr2L,1500000,1520000,-0.62722
chr2L,1520000,1540000,-0.86486
chr2L,1540000,1560000,-0.88578
chr2L,1560000,1580000,-0.69920
chr2L,1580000,1600000,-0.40642
chr2L,1600000,1620000,0.59451
chr2L,1620000,1640000,-0.74505
chr2L,1640000,1660000,-1.37359
chr2L,1660000,1680000,0.90362
chr2L,1680000,1700000,1.22590
chr2L,1700000,1720000,0.86626
chr2L,1720000,1740000,1.65512
chr2L,1740000,1760000,0.93110
chr2L,1760000,1780000,-0.84673
chr2L,1780000,1800000,0.23455
chr2L,1800000,1820000,-0.92794
chr2L,1820000,1840000,0.09522
chr2L,1840000,1860000,-0.48075
chr2L,1860000,1880000,0.19886
chr2L,1880000,1900000,0.28172
chr2L,1900000,1920000,1.08332
chr2L,1920000,1940000,-0.01520
chr2L,1940000,1960000,-0.76720
chr2L,1960000,1980000,-0.15531
chr2L,1980000,2000000,1.53629
chr2L,2000000,2020000,-0.40231
chr2L,2020000,2040000,0.63203
chr2L,2040000,2060000,0.03475
chr2L,2060000,2080000,-0.17319
chr2L,2080000,2100000,-0.55494
chr2L,2100000,2120000,-0.30345
chr2L,2120000,2140000,-0.07459
chr2L,2140000,2160000,2.03264
chr2L,2160000,2180000,2.59618
chr2L,2180000,2200000,0.66834
chr2L,2200000,2220000,1.57673
chr2L,2220000,2240000,2.62026
chr2L,2240000,2260000,0.91102
chr2L,2260000,2280000,0.10256
chr2L,2280000,2300000,-0.27154
chr2L,2300000,2320000,0.41441
chr2L,2320000,2340000,0.44930
chr2L,2340000,2360000,0.55810
chr2L,2360000,2380000,2.90075
chr2L,2380000,2400000,0.75571
chr2L,2400000,2420000,-0.15865
chr2L,2420000,2440000,1.01377
chr2L,2440000,2460000,-0.07451
chr2L,2460000,2480000,1.11727
chr2L,2480000,2500000,0.39737
chr2L,2500000,2520000,-0.14150
chr2L,2520000,2540000,0.10897
chr2L,2540000,2560000,0.38650
chr2L,2560000,2580000,2.21633
chr2L,2580000,2600000,1.73975
chr2L,2600000,2620000,-0.05351
chr2L,2620000,2640000,0.04613
chr2L,2640000,2660000,0.15725
chr2L,2660000,2680000,0.27603
chr2L,2680000,2700000,-0.12440
chr2L,2700000,2720000,-0.13460
chr2L,2720000,2740000,1.12641
chr2L,2740000,2760000,4.35180
chr2L,2760000,2780000,3.80729
chr2L,2780000,2800000,-1.32422
chr2L,2800000,2820000,0.89510
chr2L,2820000,2840000,-0.18172
chr2L,2840000,2860000,0.75197
chr2L,2860000,2880000,1.88588
chr2L,2880000,2900000,0.73862
chr2L,2900000,2920000,0.93610
chr2L,2920000,2940000,-0.21115
chr2L,2940000,2960000,-0.68092
chr2L,2960000,2980000,1.75574
chr2L,2980000,3000000,1.55825
chr2L,3000000,3020000,0.96672
chr2L,3020000,3040000,2.30578
chr2L,3040000,3060000,3.26080
chr2L,3060000,3080000,0.53189
chr2L,3080000,3100000,-0.11294
chr2L,3100000,3120000,-0.96573
chr2L,3120000,3140000,-0.98108
chr2L,3140000,3160000,0.18947
chr2L,3160000,3180000,1.48131
chr2L,3180000,3200000,0.51255
chr2L,3200000,3220000,0.49181
chr2L,3220000,3240000,0.29133
chr2L,3240000,3260000,0.71005
chr2L,3260000,3280000,-0.20485
chr2L,3280000,3300000,0.69072
chr2L,3300000,3320000,0.56431
chr2L,3320000,3340000,-0.44936
chr2L,3340000,3360000,-0.67782
chr2L,3360000,3380000,2.67673
chr2L,3380000,3400000,-0.31110
chr2L,3400000,3420000,0.96599
chr2L,3420000,3440000,-0.94258
chr2L,3440000,3460000,1.95044
chr2L,3460000,3480000,2.34268
chr2L,3480000,3500000,-0.56141
chr2L,3500000,3520000,1.53114
chr2L,3520000,3540000,1.04478
chr2L,3540000,3560000,0.05616
chr2L,3560000,3580000,-0.58505
chr2L,3580000,3600000,0.08238
chr2L,3600000,3620000,0.15892
chr2L,3620000,3640000,0.57754
chr2L,3640000,3660000,-0.83321
chr2L,3660000,3680000,-0.52464
chr2L,3680000,3700000,-0.86832
chr2L,3700000,3720000,1.21762
chr2L,3720000,3740000,-0.98993
chr2L,3740000,3760000,-0.54294
chr2L,3760000,3780000,-0.08612
chr2L,3780000,3800000,-0.03947
chr2L,3800000,3820000,-0.75975
chr2L,3820000,3840000,-0.63746
chr2L,3840000,3860000,-0.65971
chr2L,3860000,3880000,0.05024
chr2L,3880000,3900000,-0.09543
chr2L,3900000,3920000,-0.34612
chr2L,3920000,3940000,-0.25133
chr2L,3940000,3960000,0.49963
chr2L,3960000,3980000,-1.00119
chr2L,3980000,4000000,-0.17146
chr2L,4000000,4020000,-1.02078
chr2L,4020000,4040000,-1.03984
chr2L,4040000,4060000,-1.19074
chr2L,4060000,4080000,-1.14265
chr2L,4080000,4100000,-1.05267
chr2L,4100000,4120000,-0.06329
chr2L,4120000,4140000,0.33066
chr2L,4140000,4160000,-0.96088
chr2L,4160000,4180000,0.01250
chr2L,4180000,4200000,-0.72862
chr2L,4200000,4220000,0.58139
chr2L,4220000,4240000,1.54968
chr2L,4240000,4260000,0.34408
chr2L,4260000,4280000,-0.03221
chr2L,4280000,4300000,0.88700
chr2L,4300000,4320000,-0.23873
chr2L,4320000,4340000,0.89223
chr2L,4340000,4360000,-0.27397
chr2L,4360000,4380000,2.41267
chr2L,4380000,4400000,1.38067
chr2L,4400000,4420000,-0.02310
chr2L,4420000,4440000,-0.64190
chr2L,4440000,4460000,3.03349
chr2L,4460000,4480000,1.15485
chr2L,4480000,4500000,1.05019
chr2L,4500000,4520000,1.06397
chr2L,4520000,4540000,-0.34003
chr2L,4540000,4560000,0.16291
chr2L,4560000,4580000,-0.19618
chr2L,4580000,4600000,0.51838
chr2L,4600000,4620000,-1.70354
chr2L,4620000,4640000,0.15372
chr2L,4640000,4660000,-0.18795
chr2L,4660000,4680000,-0.81771
chr2L,4680000,4700000,-0.15997
chr2L,4700000,4720000,0.65973
chr2L,4720000,4740000,-0.43773
chr2L,4740000,4760000,0.10065
chr2L,4760000,4780000,0.89439
chr2L,4780000,4800000,1.21224
chr2L,4800000,4820000,-0.95715
chr2L,4820000,4840000,1.34710
chr2L,4840000,4860000,0.79029
chr2L,4860000,4880000,-0.84325
chr2L,4880000,4900000,1.28195
chr2L,4900000,4920000,-0.52601
chr2L,4920000,4940000,1.30840
chr2L,4940000,4960000,0.61586
chr2L,4960000,4980000,3.40263
chr2L,4980000,5000000,0.31013
chr2L,5000000,5020000,2.09725
chr2L,5020000,5040000,0.24101
chr2L,5040000,5060000,1.98765
chr2L,5060000,5080000,0.05411
chr2L,5080000,5100000,1.15739
chr2L,5100000,5120000,-1.13856
chr2L,5120000,5140000,0.56047
chr2L,5140000,5160000,1.02993
chr2L,5160000,5180000,-0.29663
